feature,importance
chlor_turb_ratio,93
chloramine_w72_max,62
chloramine_ewma_6,60
sulfate_w72_range,52
organic_carbon_w72_max,50
organic_carbon_w36_mean,44
chloramine_w36_max,42
chloramine,38
hour_cos,37
chloramine_diff1,36
hardness_w36_mean,35
hardness_ewma_6,34
organic_carbon_w12_max,33
hardness_w36_min,32
thm_w72_std,32
conductivity_w36_max,32
organic_carbon_w72_min,31
sulfate_w72_max,30
hardness_w72_std,30
hardness,28
tds_w36_max,27
hardness_w72_mean,27
chloramine_w36_range,27
hardness_w6_max,26
hardness_w36_std,26
hardness_w72_min,26
tds_w72_max,26
thm_w6_std,25
hardness_w6_min,24
conductivity_w12_min,24
hardness_w6_mean,24
thm_w12_std,23
dow_sin,21
ph_w72_min,21
thm_w36_std,21
thm_w6_mean,20
thm_w12_range,20
thm_w72_max,20
chloramine_w6_mean,20
tds_w36_std,20
thm,20
oc_thm_ratio,20
tds_w72_std,20
turbidity_w36_std,19
tds_lag12,19
ph_w12_max,19
organic_carbon_w36_min,19
ph_w72_mean,19
sulfate_w12_min,19
thm_w6_range,19
turbidity_w36_range,19
chloramine_w6_max,18
thm_w36_max,18
chloramine_w12_range,18
conductivity_w72_std,18
hardness_diff1,17
organic_carbon_w6_min,17
ph_w36_range,16
chloramine_w12_std,16
chloramine_lag12,16
chloramine_w12_max,16
ph_w36_mean,15
thm_w12_min,15
thm_ewma_24,15
hardness_w12_max,15
chloramine_w36_mean,14
ph_w6_min,14
hardness_diff3,14
organic_carbon_w36_max,14
tds_w12_range,14
hardness_w72_max,14
tds_w12_mean,14
cond_tds_ratio,14
thm_w72_mean,14
sulfate_w72_mean,14
ph_w36_max,13
conductivity_w72_min,13
ph_w72_std,13
conductivity_w72_mean,13
organic_carbon_w36_std,13
turbidity_w6_std,13
ph_lag12,12
organic_carbon_w6_std,12
hour_sin,12
turbidity_w72_min,12
turbidity_w72_mean,12
organic_carbon_w72_mean,12
tds_w72_range,12
organic_carbon_w12_std,12
chloramine_w72_std,12
chloramine_w72_range,12
turbidity_diff3,12
ph_ewma_24,12
organic_carbon_ewma_24,12
conductivity_w6_min,12
thm_w12_mean,11
chloramine_w12_min,11
organic_carbon_diff3,11
tds_w36_min,11
ph_w6_range,11
thm_lag12,11
tds_ewma_6,11
hardness_ewma_24,10
turbidity_w72_range,10
turbidity,10
hardness_w12_mean,10
thm_diff1,10
conductivity_w36_mean,10
conductivity_w72_max,10
tds_w72_min,10
ph_hardness_ratio,10
organic_carbon_w6_max,10
ph_w12_min,10
organic_carbon_w12_min,10
organic_carbon_w72_range,10
sulfate_w36_std,10
sulfate_w36_min,10
hardness_w12_min,10
hardness_lag12,10
chloramine_lag1,9
sulfate_w12_mean,9
conductivity_w72_range,9
hardness_w12_std,9
turbidity_ewma_24,9
thm_w6_min,9
thm_w36_mean,9
chloramine_diff3,9
thm_ewma_6,9
conductivity_w36_min,9
sulfate_w36_mean,9
ph_w36_std,9
organic_carbon,9
hardness_w36_max,9
ph_ewma_6,8
turbidity_lag12,8
turbidity_w36_min,8
tds,8
ph_w12_range,8
ph_w12_std,8
organic_carbon_w72_std,8
sulfate_w6_min,8
thm_w12_max,8
thm_w72_range,7
chloramine_w72_mean,7
conductivity,7
hardness_w12_range,7
hardness_lag3,7
conductivity_w36_range,7
thm_lag6,7
thm_lag3,7
thm_diff3,7
tds_w6_max,7
organic_carbon_w6_range,7
sulfate_w72_std,7
sulfate_w72_min,7
sulfate_w12_range,7
chloramine_w36_min,7
turbidity_w6_max,7
turbidity_w36_max,7
chloramine_lag6,6
ph_w6_max,6
ph_w72_max,6
organic_carbon_ewma_6,6
organic_carbon_lag6,6
sulfate_w6_std,6
organic_carbon_lag1,6
sulfate_lag12,6
ph,6
conductivity_lag3,6
thm_w6_max,6
conductivity_w12_range,6
chloramine_w6_std,6
turbidity_diff1,6
chloramine_ewma_24,6
conductivity_w6_max,6
hardness_lag6,6
thm_lag1,6
hardness_w6_std,6
tds_w6_range,6
tds_w12_std,6
tds_w36_range,6
tds_lag6,6
tds_w12_min,6
hardness_w6_range,5
ph_w6_std,5
turbidity_w6_mean,5
tds_w6_min,5
hardness_lag1,5
organic_carbon_w12_range,5
hardness_w36_range,5
hardness_w72_range,5
thm_w36_min,5
conductivity_w36_std,5
conductivity_w12_max,5
conductivity_lag6,5
conductivity_ewma_24,5
turbidity_w72_std,5
tds_w6_mean,5
conductivity_w12_std,5
sulfate_ewma_6,5
turbidity_w12_min,5
chloramine_w6_range,4
tds_w72_mean,4
tds_w12_max,4
sulfate_ewma_24,4
chloramine_lag3,4
ph_w36_min,4
sulfate_lag3,4
sulfate_w12_std,4
chloramine_w36_std,4
turbidity_w12_std,4
sulfate,4
organic_carbon_w6_mean,4
sulfate_w6_mean,4
chloramine_w12_mean,4
thm_w72_min,4
turbidity_lag6,4
thm_w36_range,4
conductivity_diff3,3
turbidity_lag3,3
conductivity_diff1,3
tds_w36_mean,3
conductivity_lag12,3
conductivity_w6_mean,3
conductivity_lag1,3
ph_lag1,3
sulfate_w6_max,3
sulfate_w6_range,3
tds_ewma_24,3
tds_lag3,3
organic_carbon_lag3,3
sulfate_lag6,3
sulfate_w36_range,3
ph_w72_range,3
turbidity_w36_mean,3
tds_diff3,3
turbidity_w72_max,3
turbidity_w6_min,2
turbidity_w6_range,2
ph_w6_mean,2
turbidity_w12_range,2
tds_w6_std,2
conductivity_w6_range,2
sulfate_diff3,2
ph_lag6,2
ph_diff3,2
organic_carbon_lag12,2
turbidity_w12_mean,2
turbidity_lag1,2
turbidity_w12_max,2
conductivity_ewma_6,2
turbidity_ewma_6,2
organic_carbon_w12_mean,2
chloramine_w72_min,2
organic_carbon_diff1,2
organic_carbon_w36_range,2
sulfate_diff1,1
sulfate_lag1,1
ph_w12_mean,1
sulfate_w12_max,1
tds_lag1,1
ph_diff1,1
tds_diff1,1
conductivity_w6_std,1
chloramine_w6_min,1
dow_cos,1
sulfate_w36_max,0
chloramine_stuck,0
sulfate_stuck,0
ph_lag3,0
ph_stuck,0
thm_stuck,0
hardness_stuck,0
is_night,0
organic_carbon_stuck,0
tds_stuck,0
conductivity_w12_mean,0
conductivity_stuck,0
turbidity_stuck,0
